Nombre,Gerencia área / area,Especialidad,Gerencia ACL,Asesor HSW,Ene,feb,mar,Abr,May,Jun,Jul,Ago,Sept,Oct,Nov,Dic
Usuario 204,"Health, safety and wellness","Health, safety and wellness",BA Operations,Asesor 1,,,,,,,1,,,,,
Usuario 205,Execution,Estructuras y Arquitectura,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 206,Execution,Estructuras y Arquitectura,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 207,Control de Proyectos / Control de Documentos,Control de Proyectos,BA Operations,Asesor 1,,,,,,,,,,,,
Usuario 208,Execution,Estructuras y Arquitectura,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 209,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 210,Engineering,"Civil, Relaves e Hidraulica",Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 211,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 212,Engineering,Geotecnia y Geomecanica,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 213,Controlling,BUC,Finance,Asesor 1,,,,,,,,,,,,
Usuario 214,Consulting and Sustainability,Geologia,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 215,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 216,Consulting and Sustainability,Gestion de Recursos Hidricos y Remediacion,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 217,Execution,Mecanica - Piping,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 218,Consulting and Sustainability,Estudios Sociales y Estandares Internacionales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 219,Consulting and Sustainability,Estudios Sociales y Estandares Internacionales,Technical & Execution,Asesor 1,,,,,,,,,,,,
Usuario 220,Consulting and Sustainability,Estudios y Permisos Ambientales,Technical & Execution,Asesor 1,,,,,,,,,,,,
